"","phylum","epipelagic","mesopelagic","bathyabyssopelagic"
"1","Acanthocephala",NA,1,NA
"2","Annelida",389,116,42
"3","Arthropoda",1545,998,314
"4","Bacillariophyta",1,NA,NA
"5","Brachiopoda",8,16,8
"6","Bryozoa",59,32,6
"7","Chaetognatha",16,17,3
"8","Chlorophyta",51,NA,NA
"9","Chordata",3393,1829,659
"10","Cnidaria",767,337,64
"11","Ctenophora",4,5,NA
"12","Cyanobacteria",5,NA,NA
"13","Dinophyta",1,NA,NA
"14","Echinodermata",335,195,84
"15","Echiura",3,NA,NA
"16","Foraminifera",12,25,13
"17","Gastrotricha",3,NA,NA
"18","Hemichordata",3,2,NA
"19","Kamptozoa",2,NA,NA
"20","Magnoliophyta",1,NA,NA
"21","Mollusca",1674,685,244
"22","Nematoda",1,NA,NA
"23","Nemertea",2,NA,NA
"24","Ochrophyta",31,1,NA
"25","Phoronida",3,NA,NA
"26","Platyhelminthes",1,NA,NA
"27","Porifera",131,47,11
"28","Priapulida",NA,2,1
"29","Rhodophyta",70,NA,NA
"30","Sagenista",2,NA,NA
"31","Sipuncula",21,21,23
"32","Tracheophyta",4,NA,NA
