"","Epipelagic_ssp126","Epipelagic_ssp245","Epipelagic_ssp585","Mesopelagic_ssp126","Mesopelagic_ssp245","Mesopelagic_ssp585","BathyAbyssopelagic_ssp126","BathyAbyssopelagic_ssp245","BathyAbyssopelagic_ssp585","Seafloor_ssp126","Seafloor_ssp245","Seafloor_ssp585"
"Epipelagic_ssp126",1,0.368300361554154,0.308719315992144,0.227720280445529,0.210913121787121,0.200262441222966,0.0596916401584676,0.0482784261508802,0.0504801996208559,0.0404801344763254,0.0437630697164517,0.0425716950097318
"Epipelagic_ssp245",0.368300361554154,1,0.664773670193816,0.205179937921447,0.236142241779534,0.210601932064454,0.0883904444510855,0.0788275134945185,0.0722747628875428,0.0532065199560501,0.0466561567740404,0.0443990199487829
"Epipelagic_ssp585",0.308719315992144,0.664773670193816,1,0.175499043748554,0.200282080064197,0.203772654635217,0.118242018452926,0.115449536297718,0.0999766398363936,0.0692332666754951,0.0631646063802223,0.0680161615606961
"Mesopelagic_ssp126",0.227720280445529,0.205179937921447,0.175499043748554,1,0.650680782131752,0.598617649270995,0.193662466694968,0.189461604569301,0.199181078618649,0.118784338450336,0.116253602298991,0.115877669529367
"Mesopelagic_ssp245",0.210913121787121,0.236142241779534,0.200282080064197,0.650680782131752,1,0.745679744576447,0.190861283942596,0.214896168551093,0.21361107052593,0.124428024120994,0.122690626290916,0.126502023510815
"Mesopelagic_ssp585",0.200262441222966,0.210601932064454,0.203772654635217,0.598617649270995,0.745679744576447,1,0.201817536480967,0.223626780813975,0.236244964246049,0.13316976784626,0.13027068762316,0.138533926598671
"BathyAbyssopelagic_ssp126",0.0596916401584676,0.0883904444510855,0.118242018452926,0.193662466694968,0.190861283942596,0.201817536480967,1,0.719011201180482,0.670391569258724,0.236834337806695,0.238182808082031,0.251788748963609
"BathyAbyssopelagic_ssp245",0.0482784261508802,0.0788275134945185,0.115449536297718,0.189461604569301,0.214896168551093,0.223626780813975,0.719011201180482,1,0.757569352846343,0.268878129393449,0.27362278590688,0.288236605744061
"BathyAbyssopelagic_ssp585",0.0504801996208559,0.0722747628875428,0.0999766398363936,0.199181078618649,0.21361107052593,0.236244964246049,0.670391569258724,0.757569352846343,1,0.29458121250997,0.301971895433494,0.315613358264179
"Seafloor_ssp126",0.0404801344763254,0.0532065199560501,0.0692332666754951,0.118784338450336,0.124428024120994,0.13316976784626,0.236834337806695,0.268878129393449,0.29458121250997,1,0.829004346520417,0.816931822489501
"Seafloor_ssp245",0.0437630697164517,0.0466561567740404,0.0631646063802223,0.116253602298991,0.122690626290916,0.13027068762316,0.238182808082031,0.27362278590688,0.301971895433494,0.829004346520417,1,0.833292384811207
"Seafloor_ssp585",0.0425716950097318,0.0443990199487829,0.0680161615606961,0.115877669529367,0.126502023510815,0.138533926598671,0.251788748963609,0.288236605744061,0.315613358264179,0.816931822489501,0.833292384811207,1
